zhAddress,zhLink,zhName,zhNum,zhTime,zhType
深圳,position_detail.php?id=47160&keywords=&tid=0&lid=0,18796-腾讯云游戏Web高级开发工程师(深圳）,2,2019-01-30,技术类
北京,position_detail.php?id=47161&keywords=&tid=0&lid=0,23671-企鹅号政务拓展运营,2,2019-01-30,内容编辑类
北京,position_detail.php?id=47162&keywords=&tid=0&lid=0,20772-企鹅影视经纪人,1,2019-01-30,市场类
广州,position_detail.php?id=47163&keywords=&tid=0&lid=0,WXG10-211 企业微信产品运营经理（数据/增长，广州）,1,2019-01-30,产品/项目类
深圳,position_detail.php?id=47165&keywords=&tid=0&lid=0,22989-腾讯云网络产品数据分析师,2,2019-01-30,产品/项目类
深圳,position_detail.php?id=47154&keywords=&tid=0&lid=0,24012-新手游3D特效设计师,1,2019-01-30,设计类
深圳,position_detail.php?id=47155&keywords=&tid=0&lid=0,24012-执行制片岗,1,2019-01-30,产品/项目类
深圳,position_detail.php?id=47156&keywords=&tid=0&lid=0,18796-腾讯云游戏Android高级开发工程师(深圳）,2,2019-01-30,技术类
深圳,position_detail.php?id=47157&keywords=&tid=0&lid=0,18796- 腾讯云游戏iOS高级开发工程师(深圳）,1,2019-01-30,技术类
深圳,position_detail.php?id=47158&keywords=&tid=0&lid=0,18796- 腾讯云游戏Windows高级开发工程师(深圳）,1,2019-01-30,技术类
深圳,position_detail.php?id=47239&keywords=&tid=0&lid=0,TME-全民K歌图像开发工程师（Android/iOS）（深圳）,1,2019-01-30,技术类
深圳,position_detail.php?id=47240&keywords=&tid=0&lid=0,22989-腾讯云英文客服,1,2019-01-30,技术类
深圳,position_detail.php?id=47241&keywords=&tid=0&lid=0,"22989-Customer Service, Tencent Cloud",1,2019-01-30,技术类
深圳,position_detail.php?id=47242&keywords=&tid=0&lid=0,22989-腾讯云运营产品中心后台开发工程师,1,2019-01-30,技术类
深圳,position_detail.php?id=47231&keywords=&tid=0&lid=0,27216-运营经理 ,1,2019-01-30,产品/项目类
深圳,position_detail.php?id=47232&keywords=&tid=0&lid=0,23486-证券产品策划经理,1,2019-01-30,产品/项目类
北京,position_detail.php?id=47233&keywords=&tid=0&lid=0,22086-腾讯体育商务合作经理-版权方向（北京）,1,2019-01-30,市场类
深圳,position_detail.php?id=47234&keywords=&tid=0&lid=0,29315-培训经理,1,2019-01-30,职能类
上海,position_detail.php?id=47235&keywords=&tid=0&lid=0,18432-金融合作高级商务经理,1,2019-01-30,市场类
深圳,position_detail.php?id=47236&keywords=&tid=0&lid=0,28600-微信支付营销推荐产品经理（深圳）,1,2019-01-30,产品/项目类
深圳,position_detail.php?id=47185&keywords=&tid=0&lid=0,PCG17-游戏数据分析师,1,2019-01-30,产品/项目类
深圳,position_detail.php?id=47186&keywords=&tid=0&lid=0,31112-腾讯视频游戏中心后台开发,1,2019-01-30,技术类
深圳,position_detail.php?id=47187&keywords=&tid=0&lid=0,31112-腾讯视频web前端开发工程师,1,2019-01-30,技术类
深圳,position_detail.php?id=47188&keywords=&tid=0&lid=0,15582-商业分析经理,1,2019-01-30,市场类
上海,position_detail.php?id=47189&keywords=&tid=0&lid=0,30625-腾讯广告大客户京东业务广告策划经理,1,2019-01-30,市场类
深圳,position_detail.php?id=47178&keywords=&tid=0&lid=0,25664-政府行业售前架构师（深圳/北京/上海/成都/广州）,8,2019-01-30,技术类
深圳,position_detail.php?id=47180&keywords=&tid=0&lid=0,PCG14-应用宝用户运营产品经理（深圳）,1,2019-01-30,产品/项目类
深圳,position_detail.php?id=47181&keywords=&tid=0&lid=0,22989-高级业务运维工程师（深圳）,1,2019-01-30,技术类
北京,position_detail.php?id=47182&keywords=&tid=0&lid=0,S2-CDG财务管理（北京）,1,2019-01-30,职能类
深圳,position_detail.php?id=47183&keywords=&tid=0&lid=0,PCG17-高级游戏运营,1,2019-01-30,产品/项目类
深圳,position_detail.php?id=47211&keywords=&tid=0&lid=0,15611-Unreal游戏客户端开发工程师（深圳）,1,2019-01-30,技术类
深圳,position_detail.php?id=47212&keywords=&tid=0&lid=0,"TZ-Corporate Communication, Senior Consultant（深圳）",1,2019-01-30,职能类
深圳,position_detail.php?id=47213&keywords=&tid=0&lid=0,22989-计划工程师,5,2019-01-30,技术类
北京,position_detail.php?id=47202&keywords=&tid=0&lid=0,23671-企鹅号策略产品经理（排重方向）-北京,1,2019-01-30,产品/项目类
深圳,position_detail.php?id=47203&keywords=&tid=0&lid=0,23671-企鹅号策略高级产品经理（新热度方向）（深圳总部）,1,2019-01-30,产品/项目类
北京,position_detail.php?id=47204&keywords=&tid=0&lid=0,23671-企鹅号策略高级产品经理（新热度方向）（北京）,1,2019-01-30,产品/项目类
成都,position_detail.php?id=47205&keywords=&tid=0&lid=0,PCG10-浏览器功能应用Android开发工程师,1,2019-01-30,技术类
